ID,Posted at,Screen name,Text
511652259797540864,2014-09-15 23:06:19 +0000,computerjames,2015 Dodge Challenger SRT Hellcat: 707 Horsepower? Hell Yeah! – Ignition Ep. 116 http://t.co/z6YCusypTs
511650811395325952,2014-09-15 23:00:34 +0000,TexanDodge,"This is how the Charger Hellcat is faster than the Challenger Hellcat.

http://t.co/9MxQnAdP3j"
511649926611091456,2014-09-15 22:57:03 +0000,mjwolford,I liked a @YouTube video http://t.co/12E0ocREIt 2015 Dodge Challenger SRT Hellcat: 707 Horsepower? Hell Yeah! – Ignition Ep. 116
511649867609808897,2014-09-15 22:56:49 +0000,Hockeypuck55,I liked a @YouTube video http://t.co/abpPAYZ14L 2015 Dodge Challenger SRT Hellcat: 707 Horsepower? Hell Yeah! – Ignition Ep. 116
511649334341816321,2014-09-15 22:54:41 +0000,Mickael_RP,Gostei de um vídeo @YouTube http://t.co/SQMAGcRq9w Dodge Challenger SRT Hellcat: 707 Horsepower? Hell Yeah! – Ignition Ep. 116
511649036831834112,2014-09-15 22:53:31 +0000,El_Lider_lubri,WATCH: Ignition Flogs the New Dodge Challenger Hellcat http://t.co/0BZcwkZkRM
511647557269721088,2014-09-15 22:47:38 +0000,richardsintyson,2015 Dodge Challenger SRT Hellcat: 707 Horsepower…: http://t.co/wL8Tj9O3uj
511647025599741953,2014-09-15 22:45:31 +0000,Hiroyuki6295Xxx,RT @driveSRT: 204 mph? Icing on the cake. Aero and the 2015 Dodge Charger SRT Hellcat: http://t.co/tSLhI0mZFV. http://t.co/OUwts12mJP
511646576276942849,2014-09-15 22:43:44 +0000,SabourinJade5,#romanmicagearguy 2015 Dodge Challenger SRT Hellcat: Almost Everything You Ever Wanted to Know http://t.co/qYsLcyDm5O
511646538024501250,2014-09-15 22:43:35 +0000,Hiroyuki6295Xxx,RT @driveSRT: It’s time: See your Dodge dealer to order the 2015 Challenger SRT Hellcat. More: http://t.co/OFhwwQfeEA. http://t.co/2Omk4CK2h4
511643561930915840,2014-09-15 22:31:45 +0000,alexshink1,I liked a @YouTube video http://t.co/Yf7o0nauwQ 2015 Dodge Challenger SRT Hellcat: 707 Horsepower? Hell Yeah! – Ignition Ep. 116
511643452950327296,2014-09-15 22:31:19 +0000,StevenKingPope,I liked a @YouTube video http://t.co/2xIoABBAnE 2015 Dodge Challenger SRT Hellcat: 707 Horsepower? Hell Yeah! – Ignition Ep. 116
511642989413031936,2014-09-15 22:29:29 +0000,nichen57,"I NEED THIS NOW! 

2015 Dodge Challenger SRT Hellcat: 707 Horsepower? Hell Yeah! – Ignition Ep. 116 http://t.co/Z32jm2cyyG"
511640790259728384,2014-09-15 22:20:44 +0000,MrWSays,RT @MotorTrend: .@carloslago has some whining fun with the 2015 @Dodge Challenger SRT #Hellcat http://t.co/bupyN9nu7m
511640329733173248,2014-09-15 22:18:55 +0000,M4GNA,I liked a @YouTube video http://t.co/dXiCpxause 2015 Dodge Challenger SRT Hellcat: 707 Horsepower? Hell Yeah! – Ignition Ep. 116
511638797864685568,2014-09-15 22:12:49 +0000,TerranRay,I would honestly much rather own/drive a Dodge Charger Hellcat than a Bugatti Veyron or a LaFerrari
511638733360074752,2014-09-15 22:12:34 +0000,Dogknob1,2015 Dodge Challenger SRT Hellcat: 707 Horsepower? Hell Yeah! – Ignition...: http://t.co/umKHZO5DhO via @YouTube
511638480141971456,2014-09-15 22:11:34 +0000,SergioMGC,RT @MotorTrend: .@carloslago has some whining fun with the 2015 @Dodge Challenger SRT #Hellcat http://t.co/bupyN9nu7m
511635286053646336,2014-09-15 21:58:52 +0000,Sidy,2015 Dodge Challenger SRT Hellcat: 707 Horsepower? Hell Yeah! – Ignition Ep. 116 http://t.co/d351WzacyS
511633396217294848,2014-09-15 21:51:22 +0000,AWJonWong,The #Challenger #Hellcat was a perfect pick-me-up today. @Dodge and @driveSRT built a juggernaut of an engine. Wow. http://t.co/bPqgmoAeLQ
511631894060871680,2014-09-15 21:45:23 +0000,beantownboy83,Massive balls. 2015 Dodge Challenger SRT Hellcat: 707 Horsepower? Hell Yeah! – Ignition...: http://t.co/NE1BuZKJzE via @motortrend
511631686631968768,2014-09-15 21:44:34 +0000,hashimusta,RT @AutoNews18: Dodge Challenger SRT Hellcat Shooting Brake rendered  http://t.co/k5REQw17wz http://t.co/e2mZBZ8uhq
511631431697571840,2014-09-15 21:43:33 +0000,Camp_allroad,"""@AutoNews18: Dodge Challenger SRT Hellcat Shooting Brake rendered  http://t.co/ja9Hq5F9FC http://t.co/EbymfBfvyq"" wagon powah #campallroad"
