ID,Posted at,Screen name,Text
512343198371311617,2014-09-17 20:51:52 +0000,ratchmila,@kanyewest I'm gonna need you to come perform at UCLA in two weeks thanks
512343122060537857,2014-09-17 20:51:33 +0000,AngelEloise,Oh the fun of twitter #KanyeWest @KanyeWset http://t.co/X1SdkglSH8
512343000148881409,2014-09-17 20:51:04 +0000,Tmalcz,@new2atlga @kanyewest @CTHennebry @TMZ and what about the video from june the 7th showing kanye giving a mic to a disabled person? loser.
512342963134160896,2014-09-17 20:50:55 +0000,NewTypeJosh,@whoizrmell @kanyewest uncle ye shoulda been trademarked this
512342899691122688,2014-09-17 20:50:40 +0000,danrattz,RT @YellaBoyDB: when @kanyewest cop North her 1st books  http://t.co/IL9YkW2Z0K
512342801447919617,2014-09-17 20:50:17 +0000,NallelydelaMor1,@Kardashianpedia @eonline @kanyewest Kanye!!!
512342598749786114,2014-09-17 20:49:29 +0000,MrBourns,@kanyewest help us support the disabled community! #kanyewest #unity #limpinainteasy http://t.co/JXfLCG4fiA
512342572766081024,2014-09-17 20:49:22 +0000,alekslp,"Zazdroszczę Kim #Kardashian. Jej mąż robi świetną muzykę. 
#KanyeWest #wieczorowąporą"
512341996673855489,2014-09-17 20:47:05 +0000,KanyeWest_Fans1,#KanyeWest #Workout Here's A Quick And Easy Way To Keep Burning Fat! http://t.co/EsZVUBxITK #Fitness
512341985642827776,2014-09-17 20:47:02 +0000,MrBourns,@kanyewest Help support the disabled community brother! #limpinainteasy  #houstonamputeesociety #unity http://t.co/SIuGr5NPwc
512341950943731712,2014-09-17 20:46:54 +0000,SandlerLawLLC,Hey #KanyeWest you are NO victim. You need a little sensitivity training about people with disabilities.@kanyewest
512341510202068992,2014-09-17 20:45:09 +0000,TrueMusic__,#KanyeWest Talks New Album #JayZ & #Drake + catch #TrueMusic #GirlNextDoor @__ColdestWinter : http://t.co/k4dSPgXpOH http://t.co/WE535nS8kq
512341448801255424,2014-09-17 20:44:54 +0000,AncientNative,“@unanswerdverses: why did Kanye West make a song dissing gold diggers only to end up dating one?” COME ON. 😒 Kanye @kanyewest
512341393889849344,2014-09-17 20:44:41 +0000,Fariiida_,"RT @PakuluPapito1: hey girl u lookin good @KimKardashian wat ur kik?

u mad @kanyewest lol"
512341032206209024,2014-09-17 20:43:15 +0000,DailyBubba,"Kanye West Addresses The Wheelchair Incident By Pointing Out He’s Now A  http://t.co/9YyAkQ8llj
  #going #kanyewest"
512340942985392128,2014-09-17 20:42:54 +0000,ohkitkat,RT @radicalhearts: x_________x RT: @YellaBoyDB: when @kanyewest cop North her 1st books  http://t.co/1gSADSyLkV
512340840103284736,2014-09-17 20:42:29 +0000,mafergc_,RT @kanyewest: I love my family http://t.co/SDZohbsoaA
512340811670093824,2014-09-17 20:42:23 +0000,mafergc_,RT @kanyewest: Dreams come true http://t.co/JlNzCKwZ0h http://t.co/sC3KNTl7fH
512340738000953344,2014-09-17 20:42:05 +0000,FCUKNPHIL,The video of @kanyewest handing his MIC to the guy in the wheelchair is so dope!!
512340699732119553,2014-09-17 20:41:56 +0000,shaninoboss,Ready for war tomorrow in English class😈😏😌 @travis_olson15 @jaime_valdez25 @alexx_zolk @graycetaylor99 @kanyewest
512340581939679233,2014-09-17 20:41:28 +0000,pdame72,RT @RocNation: Congrats @KanyeWest @CalvinHarris @RitaOra on their @MTVEMA nominations! Vote now: http://t.co/sQwOelyiF6 #MTVEMA http://t.co/aCO7dbeVVd
512340524611948545,2014-09-17 20:41:14 +0000,mynameisseda,@kanyewest de hep mutsuz surat tövbe estagfurullah
512340482483945473,2014-09-17 20:41:04 +0000,Urban365Radio,ON-AIR NOW : @Beyonce Ft. @S_C_ & @KanyeWest - Drunk In Love (Remix) || LISTEN On ANY Device http://t.co/wzjVfBolSg
512340332466692096,2014-09-17 20:40:28 +0000,Jesulonaa,RT @kanyewest: hi Mom http://t.co/rP0xlyt4Eq
512340245845909504,2014-09-17 20:40:08 +0000,CJFoster2,"RT @TheGoodGodAbove: NEW COMMANDMENT:
Thou shalt not command disabled people in wheelchairs to get up and dance to thine lousy song.
#KanyeWest"
512340204238438401,2014-09-17 20:39:58 +0000,Shewantssthej,@kanyewest has the most inspirational tweets in the entire twitter world.
512340082314194945,2014-09-17 20:39:29 +0000,Meganxbabyy97,RT @KimKardashian: RT @kanyewest: I love my family http://t.co/ccTkMEGFQD
512339958850670593,2014-09-17 20:38:59 +0000,nirvanically,RT @JoshRamsay: nice one @kanyewest #GreatJob http://t.co/4CDwl91Sfq
