ID,Posted at,Screen name,Text
512348122219945984,2014-09-17 21:11:26 +0000,jbyrd252,RT @mkraju: 71 Republicans voted against Syria plan. 86 Dems voted against it.
512348118872883201,2014-09-17 21:11:25 +0000,WRyanMcCann,RT @LukeRussert: Syria authorization vote: 271-157 #GOP 159 Y 71 N #Dems 112 Y 86 N #ISIS
512348116687659008,2014-09-17 21:11:24 +0000,MartinWilhelmse,RT @MunaAbuSulayman: Syria is one of the most dangerous places in the world to be a child. Here’s why. http://t.co/hzK2yn852z #WithSyria
512348116050137089,2014-09-17 21:11:24 +0000,simulator8,RT @WebsterGTarpley: #Kerry hints at secret US contacts with #Assad about bombing #ISIS-But this is secret-he views #Syria & #Iran as last line vs crazies
512348113344794625,2014-09-17 21:11:23 +0000,ActivismRocks,"#Reuters As U.S. lawmakers vote on arming #Syria n rebels, big questions remain http://t.co/hzoCkNyEYG #WorldNews  #AAAW"
512348113139290113,2014-09-17 21:11:23 +0000,Umezulike1,Congress poised to approve Obama's Iraq-Syria military strategy amid skepticism - Washington Post: Fox NewsCon... http://t.co/rDUX7cHaY2
512348110069039104,2014-09-17 21:11:23 +0000,sidd0101,@AlArabiya_Eng #Syria @No2ISISofficial #GoodNews
512348105505656832,2014-09-17 21:11:22 +0000,Marshall5Sharon,RT @SkeletorMan13: Austrian teenage 'postergirl' jihadist believed to have been killed http://t.co/PBoYQknCYl via @MailOnline
512348097934946305,2014-09-17 21:11:20 +0000,Dentist_Syria,RT @ALAMAWI: اللبواني في لقاء ناري مع موسى العمر: لست عميلاً لإسرائيل ولن أعتذر ! http://t.co/9rMpe6VdJd
512348097251266561,2014-09-17 21:11:20 +0000,erotao,RT @AnneBayefsky: #Obama @StateDept taking bows on #Syria successes. Impressed or disgusted? http://t.co/AVP23rcC7R http://t.co/UIXV4AfQPN
512348096672432128,2014-09-17 21:11:19 +0000,mr_mmgnee,"RT @ForeignPolicy: The Islamic State has launched a rape campaign across Iraq and Syria, @AkiPeritz & @TaraMaller http://t.co/inBQV1oDuw http://t.co/YAzlBpJT8d"
512348096198483968,2014-09-17 21:11:19 +0000,texasfreedom101,RT @SenTedCruz: There can be no clearer renunciation of US citizenship than going to Syria or Iraq to fight w/ ISIS terrorists: http://t.co/6WqgPUadmq
512348084311830529,2014-09-17 21:11:16 +0000,Jerry148,RT @PzFeed: JUST IN: United States House passes amendment to arm and train Syrian rebels to fight the Islamic State ISIS in Syria.
512348082705408000,2014-09-17 21:11:16 +0000,JasonUkman,"House passes bill to train, equip moderate rebels in Syria. Under US plans, it will take roughly a year to fully train 5K fighters."
512348082101428224,2014-09-17 21:11:16 +0000,JTSTheHill,"Earnest tells CNN the WH is ""gratified by the bipartisan show of support for the president's strategy"" after House passes Syria amendment"
512348077621927936,2014-09-17 21:11:15 +0000,elyjusenpr,House approves Obama's plan to train and equip Syrian rebels to fight Islamic State http://t.co/ei3ieosj50
512348074270670849,2014-09-17 21:11:14 +0000,rafaeltmoros,"RT @jehanbseiso: ""Is this Syria or Gaza?""
""Same thing"" 
by Wissam Jazairy arab spring #handala
@offyourrecord  http://t.co/sQStL2RBQf”"
512348073922547712,2014-09-17 21:11:14 +0000,DanimalSB,RT @LukeRussert: Syria authorization vote: 271-157 #GOP 159 Y 71 N #Dems 112 Y 86 N #ISIS
512348072857194497,2014-09-17 21:11:14 +0000,Shahriyar_Mah,French case against #Iran opposition group dropped http://t.co/9SQ7pkBG35 #syria #تونس #Lebanon #القدس
512348071645020160,2014-09-17 21:11:13 +0000,mrs_maple,RT @NBCNews: U.N. stops Syria vaccine campaign after 15 children die http://t.co/y1h5ltKLso http://t.co/rHL3Q34b5e
512348069933744128,2014-09-17 21:11:13 +0000,JoeBrunoFOX46,RT @LukeRussert: Syria authorization vote: 271-157 #GOP 159 Y 71 N #Dems 112 Y 86 N #ISIS
512348068201504769,2014-09-17 21:11:13 +0000,washingtonpost,House approves Obama's plan to train and equip Syrian rebels to fight Islamic State http://t.co/sR24mxUAf4
