ID,Posted at,Screen name,Text
511634027661783040,2014-09-15 21:53:52 +0000,jeepy4x4,"RT @Autonautas: Más veneno, por favor: #Dodge presenta al Viper SRT 2015 http://t.co/Lj5UAkV8iO #motor http://t.co/54OUgnjuF7"
511619003035680768,2014-09-15 20:54:10 +0000,chryslerworld,2015 Dodge Viper SRT http://t.co/aAoOm8DkUG
511614120295407616,2014-09-15 20:34:46 +0000,KiaMaber_RPTOS,"RT @Autonautas: Más veneno, por favor: #Dodge presenta al Viper SRT 2015 http://t.co/Lj5UAkV8iO #motor http://t.co/54OUgnjuF7"
511607399900147713,2014-09-15 20:08:04 +0000,Autonautas,"Más veneno, por favor: #Dodge presenta al Viper SRT 2015 http://t.co/Lj5UAkV8iO #motor http://t.co/54OUgnjuF7"
511598125384204290,2014-09-15 19:31:12 +0000,Brady_Lemons,Worked on the new dream car today: 2015 Dodge Viper http://t.co/crH1WnLBYq
511585876996939777,2014-09-15 18:42:32 +0000,StCharlesCDJRam,"2015 Dodge Viper features more power, lower price http://t.co/VcnPahMFaO"
511579486077603840,2014-09-15 18:17:08 +0000,N13lCl,RT @officialnickmor: 2015 Dodge Viper Specs http://t.co/GfedkQ4tf5
511578903102914560,2014-09-15 18:14:49 +0000,Chelorial,"RT @AutoblogUY: Más veneno, por favor: Dodge presenta al Viper SRT 2015 http://t.co/YjY93DGx8y"
511575282940002305,2014-09-15 18:00:26 +0000,AutoblogUY,"Más veneno, por favor: Dodge presenta al Viper SRT 2015 http://t.co/YjY93DGx8y"
511549708951891968,2014-09-15 16:18:49 +0000,cherie2236,"RT @MetroCarShows: It may be less powerful than a Hellcat, but Dodge’s 2015 Viper is still venomous http://t.co/5xfX3NMVzW"
511541504054411264,2014-09-15 15:46:13 +0000,IagoSantanaSamp,"RT @Dodge: Introducing the 2015 Dodge Viper SRT®, hand-built in Detroit. Pics and info: http://t.co/zsD4mugpLA http://t.co/J0F71UQqBO"
511537476968939520,2014-09-15 15:30:13 +0000,sanyokdurov,Dodge Viper модернизируют в 2015 году #АВТО
511533971872944128,2014-09-15 15:16:17 +0000,gaminojufuh,RT @vijosakobyzo: http://t.co/avEv7Ti4Z2 Dodge Viper модернизируют в 2015 году
511521128397803521,2014-09-15 14:25:15 +0000,xegawewilejy,@axiartin Dodge #Viper #2015 модельного ряда получит более мощный двигатель:
511517398688890880,2014-09-15 14:10:26 +0000,Razor_Grim13,RT @officialnickmor: 2015 Dodge Viper Specs http://t.co/GfedkQ4tf5
511516370765615105,2014-09-15 14:06:20 +0000,HendersonAuto,"2015 #Dodge #Viper gets power bump, lineup tweaks - http://t.co/JiMn93GLpP"
511515450513973248,2014-09-15 14:02:41 +0000,RedlandsCJDRM,Big things are coming. The new #Dodge #Viper #SRT’s are being hand-built in Detroit. http://t.co/e3vPy8x712 http://t.co/mUgeQvNhZ0
511515432738492417,2014-09-15 14:02:37 +0000,RedlandsAutoPl,Big things are coming. The new #Dodge #Viper #SRT’s are being hand-built in Detroit. http://t.co/u6OJ3JrsMk http://t.co/uJvB9qb7Er
511513193131167746,2014-09-15 13:53:43 +0000,officialnickmor,2015 Dodge Viper Specs http://t.co/GfedkQ4tf5
511502335328411649,2014-09-15 13:10:34 +0000,MetroCarShows,"It may be less powerful than a Hellcat, but Dodge’s 2015 Viper is still venomous http://t.co/5xfX3NMVzW"
511497040505749504,2014-09-15 12:49:32 +0000,MOTORSIA,2015 Dodge Viper SRT Revealed with More Horsepower and Special Editions http://t.co/JQPnrJ1viZ
511488519773376513,2014-09-15 12:15:40 +0000,part4usa_ru,"RT @driveSRT: The 2015 @Dodge Viper SRT: An exclusive American exotic. New colors, specs: http://t.co/JxBjVocEWU. http://t.co/8W8HFBQtHg"
511488476714655744,2014-09-15 12:15:30 +0000,part4usa_ru,"RT @driveSRT: “If you know Viper, you know this is big news.” New, lower MSRP for 2015: http://t.co/PKdrHc415C. http://t.co/ycXYVXgVGm"
511472532781039617,2014-09-15 11:12:09 +0000,subcirepsurt,RT @RussakRoman: Dodge Viper модернизируют в 2015 году #авто #новости
511461959188119552,2014-09-15 10:30:08 +0000,NehaMV1,RT @RussakRoman: Dodge Viper модернизируют в 2015 году #авто #новости
511408961527242752,2014-09-15 06:59:32 +0000,Ludelcob0929,"2015 Dodge Viper SRT Starting Price Dropped By $15,000: Official http://t.co/knPpBAqGOd"
511390843916132352,2014-09-15 05:47:33 +0000,meteora_x,"RT @Dodge: Introducing the 2015 Dodge Viper SRT®, hand-built in Detroit. Pics and info: http://t.co/zsD4mugpLA http://t.co/J0F71UQqBO"
511350058366029824,2014-09-15 03:05:29 +0000,i__Italian,"RT @suprfnkychkn: ""@Moparunlimited:This 2015 Dodge Viper GT sports a stunning deep purple
hue.Whowantsone? #MoparChat http://t.co/uMvD9PAxpt""@chargerchick412"
